Periode_Zone_B,2013,2014,2015,2016,2017
noel_debut,2013-12-22,2014-12-20,2015-12-19,2016-12-17,2017-12-23
noel_fin,2014-01-05,2015-01-05,2016-01-04,2017-01-03,2018-01-08
hiver_debut,,2014-02-23,2015-02-21,2016-02-06,2017-02-11
hiver_fin,,2014-03-09,2015-03-09,2016-02-22,2017-02-27
printemps_debut,,2014-04-20,2015-04-25,2016-04-02,2017-04-01
printemps_fin,,2014-05-04,2015-05-11,2016-02-18,2017-04-18
ete_debut,,2014-07-06,2015-07-04,2016-07-05,2017-07-08
ete_fin,,2014-09-02,2015-09-01,2016-09-01,2017-09-04
toussaint_debut,,2014-10-18,2015-10-17,2016-10-19,2017-10-21
toussaint_fin,,2014-11-03,2015-11-02,2016-11-03,2017-11-06
